id,name,category,price,maker,recommended_people,review_number,score,file_name,description,stock_status
11,折りたたみ式ピクニックテーブル『ネイチャーデザイン』,アウトドア用品,"6,480円",アウトドアクリエイト,キャンプやピクニックを家族や友人と楽しむ方、収納性と使いやすさを求める方に。,256,4.6,picnic_table.jpg,折りたたみ式ピクニックテーブル『ネイチャーデザイン』は、コンパクトに折りたたみ可能で持ち運びやすい設計です。耐久性に優れた素材を使用し、家族や友人とのアウトドア活動をさらに快適にします。キャンプ場や公園での食事に最適なアイテムです。,あり
12,和風手描き陶器マグカップ『季節の彩り』,食器,"1,980円",陶工房彩,温かみのあるデザインを好む方、四季を感じられる器を探している方に。,192,4.5,ceramic_mug.jpg,和風手描き陶器マグカップ『季節の彩り』は、四季折々の風景をイメージした手描きのデザインが魅力です。日常のティータイムやプレゼントにもぴったり。高品質な陶器を使用し、温かみのある風合いを楽しめます。,あり
13,USB充電式LEDデスクライト『スマートライト』,家電,"4,280円",ライティングイノベーションズ,読書やデスクワークに集中したい方、目に優しい光を求める方に。,324,4.7,led_desk_light.jpg,USB充電式LEDデスクライト『スマートライト』は、省エネ設計と目に優しい光が特徴です。コンパクトでデスクのスペースを有効活用できるデザイン。読書や作業を快適に行いたい方に最適なアイテムです。,あり
14,抗菌加工エコバッグ『クリーンショッパー』,バッグ・小物,"1,480円",エコスタイルジャパン,環境に優しい商品を選びたい方、衛生面を重視する方に。,278,4.4,eco_bag.jpg,抗菌加工エコバッグ『クリーンショッパー』は、衛生面に配慮したエコバッグです。コンパクトに折りたため、持ち運びも便利。買い物をよりスマートかつエコに楽しみたい方におすすめです。,あり
15,プレミアム洗顔ブラシ『スキンケアブラシ』,美容・健康,"3,980円",ビューティーエッセンシャルズ,肌の汚れをしっかり落としたい方、スキンケアを充実させたい方に。,142,4.6,facial_brush.jpg,プレミアム洗顔ブラシ『スキンケアブラシ』は、肌の奥深くまで汚れを落とす効果的な洗顔ブラシです。やわらかなブラシ素材が肌に優しく、毎日のスキンケアをサポートします。美しい肌を目指す方にぴったりの一品です。,あり
16,折りたたみ式防風傘『ウィンドシールド』,日用品,"2,980円",プロテクトギアジャパン,強風や雨の多い地域で丈夫な傘を探している方、持ち運びやすさを重視する方に。,184,4.6,wind_shield_umbrella.jpg,折りたたみ式防風傘『ウィンドシールド』は、強風にも耐える頑丈な設計が特徴です。軽量で持ち運びやすく、通勤や旅行でも便利に使えます。雨の日をもっと快適に過ごしたい方に最適な一品です。,あり
17,高性能キッチンスケール『プライムメジャー』,キッチン用品,"3,480円",キッチンプロダクツジャパン,料理やお菓子作りで正確な計量を求める方、シンプルで使いやすいデザインを好む方に。,142,4.7,kitchen_scale.jpg,高性能キッチンスケール『プライムメジャー』は、0.1g単位の正確な計量が可能なスケールです。コンパクトで収納しやすい設計が特徴。料理やお菓子作りをより楽しく、効率的に行いたい方にぴったりのアイテムです。,あり
18,軽量ランニングシューズ『フライングステップ』,スポーツ用品,"6,980円",アスレチックデザイン,ランニングを始めたい方や軽量で快適な履き心地を求める方、日常使いも考えている方に。,298,4.5,running_shoes.jpg,軽量ランニングシューズ『フライングステップ』は、足にフィットするデザインと通気性の良さが特徴です。長時間のランニングでも快適な履き心地を提供。初心者から経験者まで幅広いランナーに対応する高品質なシューズです。,あり
19,プレミアム和風懐紙『華やぎ』,文房具,"1,280円",和紙デザインスタジオ,茶道や和文化に興味がある方、美しいデザインの文具を求める方に。,87,4.8,premium_kaishi.jpg,プレミアム和風懐紙『華やぎ』は、美しい日本の伝統デザインを施した高品質な懐紙です。お茶会や特別な場面に最適。日常の中で和の文化を取り入れたい方におすすめのアイテムです。,あり
20,折りたたみ式コンパクトテーブル『リビングエース』,家具,"5,980円",ホームデザインジャパン,狭いスペースを有効活用したい方や、軽量で移動可能なテーブルを探している方に。,201,4.5,compact_table_livingace.jpg,折りたたみ式コンパクトテーブル『リビングエース』は、軽量で持ち運びが簡単なデザインが特徴です。リビングや書斎、ベッドサイドなど、さまざまな場所で活用可能。省スペース設計と使いやすさを両立した便利な家具アイテムです。,あり
21,高性能ビジネスバッグ『プロワーク』,バッグ・小物,"12,800円",キャリアスタイル,ビジネスシーンで使える機能的かつスタイリッシュなバッグを求める方に。,289,4.7,business_bag_prowork.jpg,高性能ビジネスバッグ『プロワーク』は、収納力と耐久性を兼ね備えたスタイリッシュなバッグです。パソコンや書類を整理しやすい内部設計と、耐水素材を使用した高機能が魅力。働くプロフェッショナルに最適な選択肢です。,あり
22,プレミアムフレグランスキャンドル『アロマルーム』,ホーム・インテリア,"3,480円",リラクゼーションスタイル,癒しの時間を楽しみたい方や、インテリアとして香りを楽しみたい方に。,167,4.6,aroma_room_candle.jpg,プレミアムフレグランスキャンドル『アロマルーム』は、上質な香りと洗練されたデザインが特徴です。お部屋をリラックス空間に変えるフレグランスキャンドル。贈り物としても喜ばれる、おしゃれなインテリアアイテムです。,あり
23,耐久性抜群ランニングシューズ『スピードライト』,スポーツ用品,"8,480円",アクティブギア,ランニングやウォーキングを日常に取り入れたい方や、快適な履き心地を重視する方に。,342,4.8,speedlight_running_shoes.jpg,耐久性抜群ランニングシューズ『スピードライト』は、軽量で快適な履き心地を提供します。長時間の運動でも疲れにくい設計と、優れた通気性が特徴。初心者から上級者まで幅広いランナーにおすすめのシューズです。,あり
24,USB充電式卓上加湿器『モイストミニ』,家電,"2,980円",エアウェーブテクノロジー,デスク周りの乾燥が気になる方や、コンパクトで使いやすい加湿器を探している方に。,198,4.5,usb_mini_humidifier.jpg,USB充電式卓上加湿器『モイストミニ』は、軽量で持ち運びやすい設計が特徴です。静音設計でオフィスや寝室でも快適に使用可能。乾燥する季節に必須のアイテムです。,あり
25,多機能折りたたみナイフ『アウトドアギア』,アウトドア用品,"4,480円",アドベンチャーツールズ,キャンプや登山で活用できる多機能ツールを探している方に。,176,4.7,foldable_knife_outdoorgear.jpg,多機能折りたたみナイフ『アウトドアギア』は、さまざまなアウトドアシーンで活躍する高品質なツールです。頑丈な作りと多用途の機能を兼ね備え、キャンプや登山をより快適にします。持ち運びも便利なデザインで、冒険好きな方に最適です。,あり
26,プレミアムコットンブランケット『ソフトタッチ』,寝具,"6,980円",リラックスホーム,肌触りの良いブランケットを探している方や、寝具にこだわる方に。,243,4.8,premium_cotton_blanket.jpg,プレミアムコットンブランケット『ソフトタッチ』は、肌触りの良さと優れた保温性が特徴です。上質なコットン素材を使用し、オールシーズンで快適な使い心地を提供します。家庭でのおくつろぎタイムをより豊かにする必須アイテムです。,あり
27,ワイヤレスイヤホン『クリアサウンド』,オーディオ機器,"8,980円",サウンドテックジャパン,高音質で快適なワイヤレス体験を求める方や、長時間使用を考えている方に。,289,4.6,wireless_earbuds_clearsound.jpg,ワイヤレスイヤホン『クリアサウンド』は、クリアな音質と快適な装着感が特徴です。長時間のバッテリー持続時間とノイズキャンセリング機能を搭載し、音楽や通話を快適に楽しめます。日常生活を音楽で彩りたい方に最適な選択肢です。,あり
28,折りたたみ式ポータブルバーベキューグリル『アウトドアシェフ』,アウトドア用品,"9,980円",クックギアジャパン,キャンプやピクニックで手軽にバーベキューを楽しみたい方に。,198,4.5,portable_bbq_grill.jpg,折りたたみ式ポータブルバーベキューグリル『アウトドアシェフ』は、軽量で持ち運びやすいデザインが特徴です。コンパクトながらしっかりとした構造で、簡単に組み立てが可能。アウトドアで楽しい食事の時間を提供します。,あり
29,プレミアム手作り陶器マグ『和の彩り』,食器,"2,480円",クラフトセラミックス,日本の伝統工芸に興味がある方や、特別な食器を求める方に。,134,4.7,handmade_ceramic_mug.jpg,プレミアム手作り陶器マグ『和の彩り』は、職人が一つ一つ丁寧に作り上げた日本の伝統工芸品です。独特の風合いと美しいデザインが特徴で、日常のコーヒータイムを特別なものにします。ギフトとしても最適な一品です。,あり
30,ポータブルエスプレッソメーカー『カフェトラベル』,家電,"6,480円",コーヒークラフト,旅行やアウトドアでも本格的なエスプレッソを楽しみたい方に。,254,4.7,portable_espresso_maker.jpg,ポータブルエスプレッソメーカー『カフェトラベル』は、手軽に本格的なエスプレッソを抽出できる携帯型コーヒーメーカーです。軽量でコンパクトな設計に加え、アウトドアやオフィスでも活躍する多機能アイテムです。コーヒー好きの方にぴったりの一品です。,あり
31,高性能スリープマスク『ナイトリラックス』,美容・健康,"3,280円",リラクゼーションラボ,良質な睡眠を求める方や、旅行中でも快適に眠りたい方に。,178,4.6,high_performance_sleep_mask.jpg,高性能スリープマスク『ナイトリラックス』は、柔らかな素材と優れたフィット感が特徴です。遮光性が高く、睡眠環境を整えるための理想的なアイテムです。質の高い休息を求める方におすすめです。,あり
32,多機能スマートウォッチ『ライフトラッカー』,電子機器,"12,980円",テックバイツ,日常の健康管理やフィットネスをサポートするスマートウォッチを求める方に。,342,4.8,multifunction_smart_watch.jpg,多機能スマートウォッチ『ライフトラッカー』は、健康管理と通知機能を兼ね備えた最新のスマートウォッチです。防水性能と長時間バッテリーを搭載し、日常から運動まで幅広く活用できます。ライフスタイルをより充実させたい方に最適なアイテムです。,あり
33,プレミアム和風風鈴『夏音』,インテリア,"2,480円",和音デザイン,日本の夏を感じるアイテムを探している方や、インテリアを和風にしたい方に。,89,4.5,premium_wind_chime.jpg,プレミアム和風風鈴『夏音』は、日本の伝統工芸を活かした美しい音色が魅力のアイテムです。涼やかな音色が心を癒し、夏の風情を感じさせるデザインが特徴です。贈り物としても喜ばれる一品です。,あり
